id,number,title,author,composer,theme,hymn_book_title,hymn_book_abbr,lyrics
1,1,All Praise to Jesus' Holy Name,Unknown,Unknown,Praise,Bridge Hymnal,BH,"All praise to Jesus' holy name,
Let every heart his power proclaim,
And let us bow before his throne,
Our Savior, King and Lord alone.

Chorus:
Praise God, praise God from whom all blessings flow;
Praise Him, all creatures here below;
Praise Him above, ye heavenly host;
Praise Father, Son, and Holy Ghost."
2,41,"Jesus, Savior, Pilot Me",Edward Hopper,John Edgar Gould,Trust & Guidance,Bridge Hymnal,BH,"Jesus, Savior, pilot me
Over life's tempestuous sea;
Unknown waves before me roll,
Hiding rock and treacherous shoal;
Chart and compass come from Thee—
Jesus, Savior, pilot me.

As a mother stills her child,
Thou canst hush the ocean wild;
Boisterous waves obey Thy will
When Thou say'st to them, ""Be still!""
Wondrous Sovereign of the sea,
Jesus, Savior, pilot me."
3,67,"Holy, Holy, Holy! Lord God Almighty",Reginald Heber,John Bacchus Dykes,Worship,Bridge Hymnal,BH,"Holy, holy, holy! Lord God Almighty!
Early in the morning our song shall rise to Thee;
Holy, holy, holy, merciful and mighty!
God in three Persons, blessed Trinity!

Holy, holy, holy! All the saints adore Thee,
Casting down their golden crowns around the glassy sea;
Cherubim and seraphim falling down before Thee,
Which wert and art and evermore shall be.

Holy, holy, holy! Though the darkness hide Thee,
Though the eye of sinful man Thy glory may not see;
Only Thou art holy; there is none beside Thee,
Perfect in power, in love, and purity."
4,73,"Jesus, I My Cross Have Taken",Henry Francis Lyte,Jude Hill,Commitment,Bridge Hymnal,BH,"Jesus, I my cross have taken,
All to leave and follow Thee;
Destitute, despised, forsaken,
Thou from hence my all shall be.
Perish every fond ambition,
All I've sought or hoped or known;
Yet how rich is my condition!
God and Heaven are still my own.

Let the world despise and leave me,
They have left my Savior too;
Human hearts and looks deceive me—
Thou art not, like them, untrue.
And while Thou shalt smile upon me,
God of wisdom, love, and might,
Foes may hate and friends disown me;
Show Thy face and all is bright."
5,133,There Is a Fountain Filled With Blood,William Cowper,American Melody,Redemption,Bridge Hymnal,BH,"There is a fountain filled with blood
Drawn from Immanuel's veins;
And sinners plunged beneath that flood
Lose all their guilty stains.
Lose all their guilty stains,
Lose all their guilty stains;
And sinners plunged beneath that flood
Lose all their guilty stains.

Dear dying Lamb, Thy precious blood
Shall never lose its power
Till all the ransomed Church of God
Be saved, to sin no more.
Be saved, to sin no more,
Be saved, to sin no more;
Till all the ransomed Church of God
Be saved, to sin no more."
6,167,Power in the Blood,Lewis E. Jones,Lewis E. Jones,Victory,Bridge Hymnal,BH,"Would you be free from the burden of sin?
There's power in the blood, power in the blood;
Would you o'er evil a victory win?
There's power in the blood of the Lamb.

Chorus:
There is power, power, wonder-working power
In the blood of the Lamb;
There is power, power, wonder-working power
In the precious blood of the Lamb.

Would you be free from your passion and pride?
There's power in the blood, power in the blood;
Come for a cleansing to Calvary's tide;
There's power in the blood of the Lamb."
7,184,O Love That Wilt Not Let Me Go,George Matheson,Albert Peace,Love & Trust,Bridge Hymnal,BH,"O Love that wilt not let me go,
I rest my weary soul in Thee;
I give Thee back the life I owe,
That in Thine ocean depths its flow
May richer, fuller be.

O Light that followest all my way,
I yield my flickering torch to Thee;
My heart restores its borrowed ray,
That in Thy sunshine's blaze its day
May brighter, fairer be.

O Joy that seekest me through pain,
I cannot close my heart to Thee;
I trace the rainbow through the rain,
And feel the promise is not vain
That morn shall tearless be."
8,212,Jesus Paid It All,Elvina M. Hall,John T. Grape,Redemption,Bridge Hymnal,BH,"I hear the Savior say,
""Thy strength indeed is small;
Child of weakness, watch and pray,
Find in Me thine all in all.""

Chorus:
Jesus paid it all,
All to Him I owe;
Sin had left a crimson stain—
He washed it white as snow.

For nothing good have I
Whereby my hope secure,
I nothing have, I all things need,
In Jesus Christ am sure.

Lord, now indeed I find
Thy power and Thy grace,
Reigning in my inmost mind,
Thou hast won the place."
9,253,"Jesus, Keep Me Near the Cross",Fanny J. Crosby,William H. Doane,Devotion,Bridge Hymnal,BH,"Jesus, keep me near the cross,
There a precious fountain,
Free to all, a healing stream,
Flows from Calvary's mountain.

Chorus:
In the cross, in the cross,
Be my glory ever,
Till my raptured soul shall find
Rest beyond the river.

Near the cross, a trembling soul,
Love and mercy found me;
There the bright and morning star
Sheds its beams around me.

Near the cross! O Lamb divine,
Richest treasures welcome;
Singing o'er and o'er anew,
""All the riches here are mine."""
10,625,There Is a Better World,Isaac Watts,Unknown,Heaven & Hope,Bridge Hymnal,BH,"There is a better world, we're told,
Where sin and sorrow cease,
Where light surpasses earthly gold,
And saints forever see the Lord
In righteousness and peace.

O may my soul take flight to soar
To that celestial shore,
Where I shall know my Savior dear,
And worship Him forevermore,
When in His presence I appear,
Forever and forever there.

Though here below my way seems long,
And trials press me sore,
I'll sing a pilgrim's hopeful song,
And press toward the realm above,
Where Christ my King shall greet me there,
With everlasting love."
11,624,How Firm a Foundation,Robert Keen (possibly),Unknown,Faith,Bridge Hymnal,BH,"How firm a foundation, ye saints of the Lord,
Is laid for your faith in His excellent word!
What more can He say than to you He has said,
You, who unto Jesus for refuge have fled?

""Fear not, I am with thee, O be not dismayed,
For I am thy God, and will still give thee aid;
I'll strengthen thee, help thee, and cause thee to stand,
Upheld by My righteous, omnipotent hand.

""When through the deep waters I call thee to go,
The rivers of woe shall not thee overflow;
For I will be with thee, thy troubles to bless,
And sanctify to thee thy deepest distress."
